









Frequency of observations in the selected location(s).:
Number of taxa: 	477

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Indian Peafowl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002079	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0018248	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Red Junglefowl	0.0	0.0	0.0	0.0094044	0.0015723	0.0060241	0.0037083	0.0098522	0.0104167	0.0136986	0.0091743	0.0107672	0.003876	0.0	0.0041494	0.0117647	0.0078585	0.0109091	0.0061728	0.0085592	0.0092421	0.0125	0.010395	0.0048465	0.0110701	0.0036364	0.0	0.0074442	0.0081433	0.0065898	0.0	0.0	0.0	0.0	0.0014409	0.0031283	0.002451	0.0	0.0	0.0	0.0	0.0010661	0.0	0.0	0.0	0.0	0.0	0.0	
Rock Pigeon	0.7272727	0.6759259	0.7282609	0.6907001	0.7091195	0.6837349	0.6613103	0.6584565	0.65625	0.6418787	0.6495413	0.6433378	0.6414729	0.6572668	0.6327801	0.6907563	0.6954813	0.6557576	0.6666667	0.6875892	0.676525	0.71875	0.6839917	0.6575121	0.6642066	0.6763636	0.7046263	0.6935484	0.6758958	0.6869852	0.669708	0.6866516	0.681592	0.6441137	0.6585014	0.6444213	0.6531863	0.6162006	0.6673287	0.6517928	0.7145612	0.6673774	0.664859	0.6782538	0.6733255	0.6960784	0.6742424	0.6570328	
Pale-vented Pigeon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0019569	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Picazuro Pigeon	0.7743702	0.7896825	0.7608696	0.7826541	0.7971698	0.75	0.7799753	0.7323481	0.7569444	0.7710372	0.7633028	0.7227456	0.7306202	0.7462039	0.7551867	0.7663866	0.7681729	0.7454545	0.7674897	0.7574893	0.7578558	0.7979167	0.7920998	0.8012924	0.7804428	0.7745455	0.7882562	0.8126551	0.7964169	0.7808896	0.8083942	0.8190045	0.7910448	0.7929635	0.7997118	0.8112617	0.7720588	0.7955641	0.8043694	0.7880478	0.8216008	0.7771855	0.8069414	0.7720291	0.7908343	0.8088235	0.7777778	0.7427746	
Spot-winged Pigeon	0.0668127	0.047619	0.0652174	0.07628	0.1053459	0.0662651	0.0321384	0.0262726	0.0173611	0.0254403	0.0165138	0.0215343	0.0213178	0.0477223	0.0352697	0.0722689	0.0785855	0.08	0.0761317	0.0613409	0.0831793	0.05625	0.0644491	0.0872375	0.0830258	0.1072727	0.0729537	0.0942928	0.1009772	0.1169687	0.1021898	0.10181	0.0912106	0.0893099	0.0994236	0.1042753	0.0931373	0.1031823	0.1132075	0.0964143	0.1118611	0.1076759	0.0954447	0.0986257	0.0998825	0.1311275	0.0871212	0.0703276	
Patagioenas sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.634E-4	
Ruddy Ground Dove	0.0	0.0013228	0.0	0.0	0.0	0.0	0.0012361	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0020747	0.0016807	0.0157171	0.0	0.0	0.0	0.0	0.0020833	0.0	0.0	0.0	0.0036364	0.0088968	0.0	0.0	0.0	0.0	0.0	0.0016584	0.0	0.0	0.0010428	0.0	0.0	9.93E-4	7.968E-4	0.0057859	0.0095949	0.0032538	0.0	0.0	0.0	0.0	9.634E-4	
Picui Ground Dove	0.1796276	0.1825397	0.1909938	0.1745037	0.1933962	0.2228916	0.2014833	0.1954023	0.2013889	0.1996086	0.1743119	0.1440108	0.2073643	0.2255965	0.2385892	0.2352941	0.2141454	0.1721212	0.2139918	0.2125535	0.1977819	0.2229167	0.1933472	0.1712439	0.1808118	0.1581818	0.1992883	0.2295285	0.1872964	0.1729819	0.189781	0.2217195	0.199005	0.1948579	0.221902	0.2075078	0.2340686	0.1870781	0.203575	0.2055777	0.1861138	0.1918977	0.2104121	0.1867421	0.186839	0.2095588	0.229798	0.1782274	
ground dove/Inca Dove	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.643E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
